position_id,title,intro
1,art,General art design.
2,scenario,Designer or each scene and how to transform from scenes
3,music,"BGM producer, sometimes also produces openning and ending songs."
4,director,"The director, usually also the script writer"
5,chardesign,Character Design.
6,staff,General staff.
7,songs,The openning and ending songs producer.
