char_id,vn_id,role
163,92,side
163,5895,appears
163,9091,side
164,92,side
164,5895,appears
164,9091,primary
165,405,side
166,92,side
166,93,side
166,5895,appears
166,9091,appears
167,93,appears
167,405,appears
167,15239,side
168,92,appears
168,93,appears
168,5895,appears
169,398,appears
169,6173,appears
170,397,appears
170,398,appears
170,6173,appears
171,92,side
172,93,side
172,405,primary
172,5895,primary
172,15238,side
172,15239,primary
173,92,appears
173,93,appears
174,92,appears
174,7052,appears
174,9091,side
175,92,side
175,5895,side
175,7052,appears
175,12594,appears
176,92,appears
176,405,primary
176,15239,primary
177,92,primary
177,93,side
177,9091,side
178,92,appears
178,405,primary
178,15239,primary
179,93,appears
180,92,side
180,12594,appears
181,93,appears
182,92,appears
182,7052,appears
183,92,appears
183,7052,side
184,92,appears
185,92,appears
186,92,appears
187,405,appears
188,405,side
189,71,primary
189,5072,main
190,4,primary
190,4060,primary
191,57,primary
191,84,primary
192,5,main
192,3079,main
192,11567,main
192,19693,main
193,5,primary
193,11567,primary
193,19693,primary
194,5,primary
194,11567,primary
195,760,primary
195,761,primary
195,763,primary
196,24,main
196,2153,appears
196,2153,primary
196,5691,primary
196,9047,primary
197,24,primary
197,2153,primary
197,2153,side
197,5691,primary
197,9047,primary
198,24,primary
198,2153,primary
198,2153,side
198,5691,primary
199,24,primary
199,2153,side
199,5691,primary
200,24,primary
200,2153,primary
200,2153,side
201,5,primary
201,11567,primary
201,19693,primary
202,24,primary
202,2153,primary
202,2153,side
202,5691,primary
203,369,primary
203,1967,primary
203,3987,primary
203,13188,appears
203,16463,primary
203,18649,side
203,20591,side
203,20592,primary
204,369,main
205,24,primary
205,2153,primary
205,2153,side
205,5691,primary
206,24,primary
206,2153,side
207,24,primary
207,2153,side
208,6501,primary
209,6501,primary
210,6501,main
211,3784,primary
211,6756,primary
212,3784,primary
212,6756,primary
213,6756,primary
214,369,primary
214,1967,primary
214,3987,primary
214,13188,appears
214,16463,primary
214,18649,side
214,20591,side
214,20592,primary
215,399,appears
215,1068,primary
215,1103,primary
216,399,appears
216,1068,primary
216,1103,primary
217,369,primary
217,1967,primary
217,3987,primary
217,13188,appears
217,16463,primary
217,18649,side
217,18783,appears
217,20591,side
217,20592,primary
218,399,appears
218,1068,primary
218,1103,primary
219,369,primary
219,1967,primary
219,3987,primary
219,16463,primary
219,16463,side
219,18649,primary
219,20591,side
219,20592,side
220,399,appears
220,1068,primary
220,1103,primary
221,399,appears
221,1068,side
221,1103,side
222,1068,side
222,1103,side
223,397,appears
223,399,appears
223,1068,primary
223,1103,primary
224,399,appears
224,1068,primary
224,1103,primary
225,399,appears
225,1103,primary
226,399,appears
226,1103,primary
227,1068,main
227,1103,main
228,24,primary
228,2153,side
229,2296,appears
229,2361,primary
230,2296,appears
230,2361,primary
231,2296,appears
231,2361,primary
232,2361,main
233,2296,appears
233,2339,appears
233,2341,primary
234,2339,appears
234,2341,primary
235,2341,side
236,2341,side
237,369,primary
237,1967,primary
237,3987,primary
237,16463,side
237,18649,side
237,20591,side
237,20592,primary
238,2339,appears
238,2341,primary
239,2341,primary
240,369,primary
240,1967,primary
240,3987,primary
240,16463,primary
240,18649,side
240,20591,side
240,20592,primary
241,751,primary
241,8020,primary
241,19611,side
242,369,primary
242,1967,primary
242,3987,primary
242,16463,primary
242,18649,side
242,20591,side
242,20592,primary
243,2341,primary
244,2341,primary
245,2341,side
246,2339,side
246,2341,side
247,2341,side
248,2341,primary
249,2341,primary
250,2341,primary
251,2296,appears
251,2344,side
252,2342,appears
252,2344,side
253,2296,appears
253,2342,primary
253,2344,side
254,2296,appears
254,2342,primary
254,2344,primary
255,2296,appears
255,2344,primary
256,2344,primary
257,2344,primary
258,2344,primary
259,2342,appears
259,2344,main
260,1314,primary
260,2363,primary
261,1314,primary
261,2363,primary
262,1314,primary
262,2363,primary
263,1314,primary
263,2363,primary
264,1314,primary
264,2363,primary
265,92,primary
265,5895,appears
266,92,appears
266,405,primary
266,15239,primary
267,751,main
267,8020,main
267,19611,main
267,21644,main
268,1092,primary
268,2296,appears
269,24,primary
269,2153,side
270,751,primary
270,8020,primary
270,19611,side
271,646,primary
271,647,side
272,751,primary
272,8020,primary
272,19611,side
273,646,primary
273,647,main
274,646,appears
274,647,appears
275,369,primary
275,1967,primary
275,3987,primary
275,16463,primary
275,18649,side
275,20591,side
275,20592,primary
276,24,primary
276,2153,side
277,369,side
277,1967,side
277,3987,side
277,16463,appears
277,18649,side
277,20591,side
277,20592,side
278,1092,primary
278,2296,appears
279,646,primary
279,647,side
280,646,primary
280,647,side
281,646,main
281,647,main
282,646,appears
283,2296,appears
283,2361,side
284,2296,appears
284,2361,side
285,1314,side
285,2363,side
286,1314,primary
286,2363,primary
287,1314,side
287,2363,side
288,2361,primary
289,1314,side
289,2363,side
290,646,side
290,647,appears
291,1314,side
291,2296,appears
291,2345,side
291,2363,side
292,2296,appears
292,2361,side
293,2361,primary
294,24,primary
294,2153,side
295,646,primary
295,647,side
296,646,primary
296,647,side
296,6668,appears
297,646,primary
297,647,side
298,1314,main
298,2363,main
299,1314,side
299,2296,appears
299,2345,side
299,2363,side
300,646,primary
300,647,side
301,646,side
301,647,appears
302,751,primary
302,8020,primary
302,19611,primary
303,751,primary
303,8020,primary
303,19611,primary
303,21644,primary
304,751,side
304,8020,side
304,19611,appears
304,21644,side
305,211,main
305,20273,main
306,646,side
306,647,appears
