char_id,vn_id,role
493,23,primary
493,23,primary
493,23,side
494,423,primary
494,1190,side
495,423,primary
495,1190,side
496,423,primary
496,1190,side
497,423,primary
497,1190,side
498,1491,primary
499,423,primary
499,1190,side
500,423,main
500,1190,main
501,4,primary
501,12,appears
502,423,primary
502,1190,side
503,431,primary
504,423,side
504,1190,primary
505,1190,primary
506,57,primary
506,84,primary
507,414,side
508,414,side
508,2123,appears
509,414,side
509,2123,side
510,414,side
510,2123,side
511,414,appears
512,414,appears
513,414,side
516,414,appears
517,414,appears
517,2123,side
518,414,side
519,414,appears
519,2123,side
521,414,side
521,2123,side
522,2123,side
523,414,appears
523,2123,side
525,2123,primary
527,2123,side
528,2123,side
529,2123,primary
530,2123,primary
532,2123,primary
533,1491,side
534,989,side
534,1438,side
535,903,side
535,2093,primary
536,903,side
536,2093,primary
537,4,primary
538,1491,primary
551,431,primary
552,1194,main
552,1899,main
553,1194,primary
553,1899,primary
554,1194,primary
554,1899,side
555,1194,primary
555,1899,appears
556,1194,primary
556,1899,appears
557,1194,primary
557,1899,side
558,903,side
558,2093,appears
559,903,side
559,2093,side
560,1194,side
560,1899,primary
561,1194,side
561,1899,primary
562,1194,side
562,1899,side
570,431,primary
574,1000,main
575,1000,primary
585,431,side
604,431,side
617,299,side
618,299,side
619,299,side
620,299,side
622,299,side
624,751,side
625,431,side
626,431,appears
640,1445,primary
641,431,appears
642,1445,primary
643,299,side
644,299,side
645,299,side
646,431,side
647,431,side
651,1445,primary
652,1445,primary
653,1445,primary
654,23,primary
654,23,side
657,431,appears
660,431,appears
660,2016,appears
661,299,side
662,431,appears
663,431,side
664,431,appears
665,431,appears
667,431,appears
680,24,primary
704,175,main
705,175,primary
706,175,primary
707,175,primary
708,175,primary
709,175,primary
710,175,primary
710,175,primary
711,175,side
712,175,side
721,455,primary
721,1651,primary
722,1651,primary
723,1651,primary
724,1651,main
730,299,side
731,299,side
732,299,side
735,487,main
735,1111,appears
735,1414,main
735,1427,main
735,1829,main
735,2040,main
735,2043,main
735,2044,main
735,2046,main
735,2047,main
736,487,primary
736,1111,appears
740,487,primary
740,1111,appears
740,1414,primary
740,1427,primary
740,1829,primary
740,2040,primary
740,2043,primary
740,2044,primary
740,2046,primary
740,2047,primary
756,255,primary
757,945,primary
758,945,primary
759,255,primary
760,945,primary
761,255,primary
762,945,primary
763,255,primary
764,945,primary
765,751,side
766,945,primary
767,945,main
768,604,primary
769,604,primary
770,604,primary
771,604,primary
772,604,primary
773,604,primary
774,751,side
775,801,main
775,802,main
775,1347,main
776,801,primary
776,802,primary
776,1347,primary
777,801,primary
777,802,primary
777,1347,primary
778,801,primary
778,802,primary
778,1347,primary
779,801,primary
779,802,primary
779,1347,primary
780,801,side
780,802,side
780,1347,side
781,801,primary
781,802,primary
781,1347,primary
782,801,primary
782,802,primary
782,1347,primary
784,801,primary
784,1347,side
785,801,primary
785,802,primary
785,1347,primary
786,801,primary
786,1347,primary
787,801,primary
787,802,primary
787,1347,primary
789,1510,primary
793,1510,primary
794,1510,primary
795,1510,primary
796,100,primary
797,100,primary
798,100,primary
800,100,primary
802,455,primary
802,1651,primary
803,1651,side
804,1179,main
805,666,appears
805,1179,primary
806,1179,primary
807,1179,primary
808,1179,primary
809,860,primary
809,861,primary
809,862,primary
810,1179,primary
811,860,main
811,861,main
811,862,main
812,860,primary
812,861,primary
812,862,primary
813,861,primary
813,862,primary
814,666,appears
814,1179,primary
820,860,primary
820,861,primary
820,862,primary
821,860,primary
821,861,primary
821,862,primary
822,860,primary
822,861,primary
822,862,primary
828,574,primary
829,574,main
830,574,primary
831,574,primary
832,574,primary
835,834,primary
836,860,primary
836,861,primary
836,862,primary
844,945,side
845,945,side
848,1277,primary
849,1277,primary
850,1277,primary
851,1277,primary
852,1369,side
853,1369,side
854,1369,side
855,1369,side
856,1369,side
857,1369,side
858,1369,side
865,902,primary
866,902,primary
867,961,primary
868,961,primary
869,961,primary
870,961,primary
871,961,main
872,617,main
873,617,main
874,617,primary
875,617,primary
876,617,primary
877,617,primary
878,1369,primary
879,1369,primary
880,1369,primary
881,1369,main
882,1369,primary
883,860,appears
883,861,side
883,862,side
884,834,primary
885,834,side
886,834,primary
887,834,primary
888,834,main
889,834,side
896,2031,main
897,860,side
897,861,side
897,862,side
898,861,side
898,862,side
899,860,side
899,861,side
899,862,side
900,2031,primary
901,2031,primary
902,2031,primary
903,2031,primary
904,2031,side
905,2031,primary
906,2031,appears
907,1322,primary
908,1322,main
909,93,appears
910,1322,primary
911,1322,primary
912,1322,primary
913,1322,primary
914,1322,side
915,1322,side
916,1322,side
917,1322,side
918,1322,side
919,1322,side
920,1322,primary
921,1912,main
922,972,primary
922,1327,primary
923,972,primary
923,1327,primary
924,972,primary
924,1327,primary
925,972,primary
925,1327,primary
926,972,primary
926,1327,primary
927,1912,primary
928,1483,main
929,1483,primary
930,1912,primary
931,231,main
931,234,main
932,231,primary
932,234,primary
933,231,primary
934,231,primary
935,231,primary
935,2016,appears
936,231,primary
936,234,side
937,231,side
937,234,side
